NOME;DATE;PROVENIENZA;ATTIVITA';ANNI DI CONTATTO CON TARTINI;CONTATTI CON TERZI;TESTIMONIANZA DI TARTINI;TESTIMONIANZA DELL'ALLIEVO SU TARTINI;TESTIMONIANZE DI TERZI;ANCHE COMPOSITORE;EPISTOLARIO TARTINI;EITNER;RIEMANN;MGG;NGD;GMO;FETIS;DIC;DUM;DEUMM;DBI;FONTI;NOTE;SONATE A 3;SONATE A 4;ALTRE COMPOSIZIONI;SCRITTI;RISM;MGG2
HOLZBOGEN, Johann Georg;1727-1775;Schwandorf (Germany);"Monaco; Francoforte; Ansbach";"1753; 1759-1762";"Mandato a studiare con Tartini dal duca (principe elettore) Clemens Franz von Bayern, cfr. Riepe. Thaddäus Ferdinand Lipowsky; Ignaz Leitgeb; Felix Reiner";;;"Lipowsky vermerkt, dass es ihm an der Kantabilität der Tartinischen Schule fehlte; ""ha una grande agilità della mano, cava un bel suono dal suo strumento e possiede più fuoco di quello che ci si aspetta dalla scuola tartiniana, la quale si distingue piu per delicatezza, espressione e sentimento, anziche per vivacita e varietà"" (BURNEY) . ""Holzbogn ha un'ottima mano, un suono limpido, molto slancio per uno che si sia formato alla scuola di Tartini che si distingue per la delicatezza dell'espressione e l'estrema precisione più che per il brio e l'estro. []"" cfr. Burney, Viaggio musicale in Germania, p. 69 ";X;;EIT;;;;GMO;FET;;DUM;;;"Neues Universal-Lexikon der Tonkunst, p. 440; POUGIN, Le violon, p. 104; DOUNIAS, 1935; [CAPRI, 1945, p. 362; 387]; [Thematic Catalog, Berkeley Music Library, 1963, p. 124]; [PETROBELLI 1968, pp. 78-79]; [PETROBELLI, 1992, p. 92]";Der in der Lexica genannte Joseph H. scheint eine Fantasiegestalt zu sein (Eitner);"13 Trios für 2 V. und Vc. (davon 4 im Breitkopf-Kat. 1773), D-Mbs, D- ZL und US-BE; Trio für Hr., Ob und Fg. (Breitkopf-Kat. 1782/83 und 1784)";;"Affectus humani, Meditatio II (1760), Fragm. D-FS
S.?Paulus, Meditatio II (Aria »Domine! Dum contra me«) (1772), CH-E, Fragm. D-FS
Conscienta, Meditatio III (1773), Fragm. D-FS
Missa G-Dur, ebd.
2 Arien (»In mortem a discipulo für S; »Suis tradendus omulis« für T) und Duett (»Tristes erant Apostoli« für S und T), CH-E
Quodlibetum für B und Str., versch.
Sinfonien eine Sinf.:
A-Gd
D-Dur, A-ST
D-Dur, D-Bds
G-Dur, D-HR
G, D, D-Mbs
C, Es, I-Gl
D-Dur, I-Vlevi
insges. um die 20 Sinf., 10 im themat. Kat. Sigmaringen 1766, D-SI; 6 davon auch im Breitkopf-Kat. 1773 (s. Brook 1966); eine in Kat. Zeil 1767- ca. 1786, D-Zl
II. Kammermusik
Divertimento für V. und Str., A-Gd
Sonata für Fg. und Baß, D-B, D-LEb
Verschollen
Violinkonz.
2 Flötenkonz. D, G (Breitkopf-Kat. 1769) 2 Hornkonz. D, D
12 Menuette für Orch. (Kat. Sigmaringen 1766, D-SI)";;;MGG
HUNT, Johann Baptist;;Germany;;1750-1759;;"T. a Naumann: ""Con questa occasione la prego di darmi qualche notizia dello stato di salute del signor Hunt a cui porti per me i miei cordialissimi complimenti, ed abbraccj, come faccio seco lei""";;"""Johann Baprtista Hunt, des vorigen Bruder, hat drey Jahr den Unterricht des Tartini genossen"", Wöchentliche Nachrichten und Anmerkungen, die Musik betreffend, vol. 1, p. 27";;p. 307;;;;;;;;;;;"Meissner, 1803; (2017): p. 35 e Owens - Reual - Stockigt, 2011, p. 41; DOUNIAS, 1935; [CAPRI, 1945, p. 387]
[PETROBELLI, 1992, p. 26; 87-89]";"""Il Dounias lo chiama Giovanni-Battista, il Moser lo indica invece come Franz, accomunandolo a Graun e a Karl Matthias Lenheis nella circostanza che tutt'e tre furono mandati a Padova a spese della corte di Wetting. Di lui non si hanno notizie"", Capri, p. 388";;;;;;
KAMMEL, Anton [Antonín];"1739 (1730 MGG; DEUMM)-1784";Bieletsch [B?le?] (central Boemia);"Inghilterra (anni '60); Londra 1764";1750-1759;"Mandato a Padova dal conte Vincenc von Waldstein [Wallenstein]; Johann Christian Bach; Mozart";;;;X;;EIT;RIE;MGG;;;;DIC;;DEU;;"DOUNIAS, 1935; [CAPRI, 1945, p. 388]";;"A Second Sett of Six Sonatas A, G, B, D, F, C für 2 V. und Basso op.?3, L. [um 1770]
Six Sonatas D, F, C, B, Es, G für 2 V. und Vc. op.?16, L. [um 1785]
4 Son., in: Six Sonatas for two violons and a violoncello, with a thorough bass for the harpsichord, composed by Messrs. Bach, Abel and Kammell, L. [um 1780]
Six Sonatas für 2 V. und Basso, arr. von C.?Roeser, P. [um 1770]
Six Sonates en trio für Cemb., V. und Basso, P. [um 1780]Six Sonates für 2 V. op.?7, Den Haag [um 1770]
Six Sonatas F, G, E, Es, B, C für Pfte./Cemb./Hf., V. und Vc. op.?9, L. [um 1776]";;"Sei Trii D, A, G, Es, g, E für 2 V. und Basso op.?1, L. 1766
Six Duets A, D, C, G, B, F für 2 V. op.?2, L. [um 1770]
Six Quartettos C, Es, D, A, F, B für 2 V., Va. und Vc. op.?4, L. [um 1770]
Six Duets A, D, E, C, Es, G für 2 V. op.?5, L. [um 1770]
Six Notturnos D, B, Es, g, G, E für 2 V. und Basso op.?6, L. [um 1770]
Six Quartettos G, B, D, A, F, Es für 2 V., Va. und Vc. op.?7, L. [um 1775]
Six Solos G, B, C, Es, A, E für V. und Cemb. op.?8, L. [um 1775]
Six Overtures D, C, A, G, Es, F für 2 V., 2 Ob./Fl., 2 Hr. und Cemb. op.?10, L. [um 1775]
Six Duos B, F, A, C, Es, G für 2 V. op.?11, P. [um 1780]
Six Divertimentos A, D, C, F, G, B, davon 3 für 2 V., Va. und Vc.; 3 für Ob./Fl., Va. und Vc. op.?14, L. [um 1780]
Six Sonatas für V. und Basso op.?13, P. [um 1785]
Six Duetts D, B, A, G, C, F, davon 2 für 2 V.; 2 für V. und Va. op.?15, L. [um 1785]
Six Divertimentos B, A, C, D, G, F für V. und Va./2 V. op.?17, L. [um 1785]; arr. für Pfte., L. o.?J.
Six Duettos D, A, C, Es, B, E für 2 V. op.?18, L. [um 1785]
Six Notturnos D, F, C, B, G, A für 2 V. und Vc. op.?19, L. [um 1785]
Six Divertimentos A, D, C, F, D, B für StrQu. op.?12, L. [um 1790]
Concert de Violon für V. solo, 2 V., Va. und Basso op.?7, P. [um 1770]
Six Sonatas G, A, D, G, D, A für V. und Basso op.?10, P. [um 1780]
Six Quatuors für 2 V., Va. und Basso op.?14, P. [um 1780]
Six Divertimentos für StrQu. op.?21, P. [um 1785]
Six Duos für 2 V. op.?22, P. [um 1785]
Six Trios für dass. op.?25, P. [um 1785]
Six Duos für 2 V. op.?26, P. [um 1785]
II. Werke ohne Opuszahlen
A Third Sett of Trios or Ballo, consisting of two Acts with a short introductory Overture to each Act and a collection of airs, L. [um 1770]
Six Duos concertants für 2 V., P. [um 1780]
Six Duetti notturni für V.?P. [um 1780]
Six Quatuors concertant […] de vari autory (einschl. Kammel), P. [um 1778]
III. Edition
Six Overtures in eight parts by J.?Stamitz, Vanhall, Haydn, etc., L. [um 1770]";;;MGG
KHANDOSHKIN, Ivan Yevstafyevich [Evstaf'evic];1747-1804;Ukraine;S. Pietroburgo, Mosca, Ekaterinoslav;;Allievo di Tito Porta;;;;;;;;;;;;;;;;PFITZINGEN, 2017;;;;;;;
LAHOUSSAYE [LA HOUSSAYE], Pierre-Nicolas;1735-1818;Paris (France);"Londra; Parigi; Parma";"1753; fino al 1769";"Joseph Antoine Piffet; Gaviniès; Pugnani; Giardini; Pagin. Il suo maestro di composizione fu Traetta";"""Io non ne son niente sorpreso, ho sempre detto che Pietro il mio scolare sarebbe un giorno il terror de'violini"", cfr. Bertini 1815";"""Rien ne saurait exprimer la surprise et l'admiration que me causèrent la justesse, la pureté du son, le charme de l'expression, la magie de l'archet, enfin toutes les perfections dont le jeu de Tartini venait de m'offrir le modèle"", Capri, p. 378; Lahoussaye, un des meilleurs élèves de Tartini, parle en ces termes du Maître: «Rien ne peut décrire l'étonnement et l'émerveillement que je «ressentis à l'audition du jeu de Tartini. Sa perfection et sa justesse, la délicatesse de son expression, la magie de son archet, tout concourait à la plus grande «perfection possible» (Bachmann, p. 315)";;X;;EIT;;MGG;;;FET;;;DEU;;"[CAPRI, 1945, p. 388]; [PETROBELLI 1968, pp. 107]; [PETROBELLI, 1992, p. 19]; ";;;;"Sei sonate a violino solo e basso C, Es, B, g, A, E op.?1, P./Lyon/Brs. ca. 1774
Les Amours de Coucy, op.com. (22. Aug. 1790 Paris, Théâtre de Monsieur), 
FétisB erwähnt außerdem 12 »concertos d’église« für V., »sept œuvres de sonates, et trois œuvres de duos«, alle Ms., nichts erh.";;;MGG
LEHNEIS, Antonio;;Germany;;;;"T. ad Algarotti: ""Io umilmente e confidentemente la supplico di far consegnare la inclusa al mio caro amico e scolare Lenheis, giacché in questa occasione ho necessità di scrivergli subito per servirlo in un suo bisogno.""";;;; p. 170;EIT;;;;;;;;;;[PETROBELLI], 1992: p. 53;Libro del Contrappunto del Signore Giuseppe Tartini appartenuto ad Antonio Lenheis 1774, conservato a Berlino;;;;;;
LEHNEIS, Karl Matthäus;;Germany;Dresda;;;;;;;;;;;;;;;;;;"DOUNIAS, 1935; [CAPRI, 1945, p. 388]; [PETROBELLI 1968, pp. 116]; [PETROBELLI, 1992, p. 51-52; 59-60]; Wöchentliche Nachrichten und Anmerkungen, die Musik betreffend, Volume 1, p. 27";"""Anche su questo v'è divario tra il Dounias che lo chiama Karl Matthäus e il Moser che gli attribuisce il secondo nome di Matthias. Il Moser lo dice lodato dai contemporanei per le sue qualità violinistiche e informa ch'egli successe nel 1764 a Cattaneo nell'ufficio di maestro concertatore della corte di Wetting"", Capri, p. 388";;;;;;
LEIDEK [LAITECH, LAIDECH], Giacomo [figlio di Valentino];;Germany;;;;"T. a Martini: ""Molto reverendo padre padrone colendissimo, mi prendo la libertà di raccomandar efficacemente a vostra riverenza il figlio del datore della presente, ch’è, e dev’esser mio scolare a suo tempo. Il signor Valentino Laitech, ch’è il dattore, lavora ultimamente in pelli, e non trovando qui in Padova il suo conto per mantener sè stesso e il figlio, se ne viene costì, dove gli è offerta assai miglior condizione che qui. Per conseguenza dovendo condur seco il figlio, costì gli si deve procurare un maestro di violino che con quel titolo stesso di carità, con cui io gl’insegnarò di nuovo a suo tempo, gl’insegni distintamente i principi fondamentali della musica, de’ quali è privo a cagione di negligenza del primo suo maestro. Io suplico dunque vostra riverenza con tutto il cuore a contribuir quanto può e sa a questa gran carità per cui ne avrò merito distinto appresso Dio, come ne avrà chi se lo assumerà in questo tempo per scolare. Quando il giovine sia poi a segno, allora si pensarà a ciò che conviene a me, e intanto e al padre e al figlio vostra riverenza faccia da padre caritatevole secondo il di lei ottimo cuore e christiano""";;;;p. 31, 273;;;;;;;;;;;"DOUNIAS, 1935; [CAPRI, 1945, p. 388]; [DALLA VECCHIA, Giuseppe Tartini, 1999, p. 204]";Un Giacomo Leydeck appone il suo sigillo e si controfirma al testamento di Tartini (sette persone sono presenti al testamento tra cui Antonio Vandini, Francesco e Giulio Meneghini, Giovanni Zotti, Francesco Calegari, Innocente Zanini - oltre che il Leydeck), cfr. Bellinati 1994;;;;;;
LOBST [LOBS], Ignaz;;Germany;;1750-1750;Mandato a studiare con Tartini dal duca Clemens Franz von Bayern, cfr. Riepe.;;;"""Lobst suonò con grande delicatezza un concerto di Tartini"", Burney, Viaggio musicale in Germania, p. 69";;;;;;;;;;;;;"DOUNIAS, 1935; [CAPRI, 1945, p. 388]; [PETROBELLI, 1992, p. 91]";;;;;;;
LOMBARDINI SIRMEN [SYRMEN], Maddalena Laura;1735-1799;Venice (Italy);"Lüttich; Amsterdam; Londra; Parigi; Dresda; S. Pietroburgo";1760;Allieva di A. Martinelli e Antonia Cubli (prima del 1760). Studiò anche con Bertoni (composizione);"Lettera di T. a Lombardini, 7.3.1760 / T. a Naumann: ""Signor Giovanni mio signore e padrone, quando sua altezza reale elettrice si compiaccia di voler al suo serviggio la giovine suonatrice de’ Mendicanti, il modo facile di averla si è di assicurar alla giovine il marito, ch’è in Venezia, pronto a sposarla, ed è un tal Giuseppe Scoti di Cremona, musico tenore di buona voce, e dispositione. Il pio luogo de’ Mendicanti per legge statuaria non concede l’estrazione delle figlie ivi educate, che o per farsi monache, o per maritarsi. In questo secondo caso si esamina rigorosamente, se lo stato dell’uomo sia tale, che possa mantener onestamente la moglie, la quale se canta, il marito deve dar sicurtà che non sarà mai esposta sul teatro venale. Qui non vi è intoppo, perché la giovine suona, e non canta; ma l’intoppo è nel musico tenore, il quale non può dare altra sicurezza del suo stato, che l’arte propria del canto; e questa non basta per sodisfare alla legge del pio luogo. Bastarebbe intieramente se il medesimo fosse stabilito al serviggio di qualche corte ed allora il pio luogo ad occhi chiusi gli concederebbe la giovine in moglie. In tal caso si propone il partito di assicurar al serviggio di sua altezza reale elettrice il tenorista Giuseppe Scoti con diploma ostensibile al pio luogo nel qual diploma non sia mai nominata la giovine Maddalena Lombardini, né vi sia minimo cenno di matrimonio. Questo diploma (dopo estratta, e sposata la giovine) a nulla deve servire per il musico, di che sua altezza reale elettrice dev’esser antecedentemente assicurata in quel modo ch’essa comanderà; ma con altro diploma cambiato il nome del marito in quello della moglie, per essa unicamente dovrà servire, giacché questo giro ad altro non serve, se non che a cavar dal luogo pio la giovine suddetta. Questa non determina, né determinerà mai domanda di annuo assegnamento; e sinceramente si protesta, che quando sua altezza reale elettrice gli assegni quanto gli basti a viver onestamente con suo marito, è piucché contenta, né cercherà mai più di costì. Se poi sua altezza reale elettrice troverà, che il marito sia, o diventi quel tal cantante, che possa meritar l’attual servigio (egli è giovane, non vuol teatri venali, ha voglia di studiare, ha voce, ed abilità) allora essa disporrà secondo il suo giudicio e piacere. Questo è lo stato della cosa, in cui sua altezza reale elettrice nulla arrischia col diploma e con l’assegnamento fatto a nome dello Scoti, perché ottenuto l’intento, il diploma restituisce alla Sovrana, e si fa il nuovo diploma per la Lombardini; e con ciò si assicura al serviggio l’acquisto di questa giovine, di ottimi, e santi costumi, e di quella tal singolarità nel violino, di cui per quanto ella, ed il signor Ferrandini101 possano assicurar sua altezza reale elettrice; ambedue che l’hanno sentita, sanno che sua altezza troverà sempre di più, poicché tra quanti scolari di grido ho avuti, tanto ella, che il signor Ferrandini sanno di poter assicurare la sovrana padrona, che per musica esercitata sul violino che vada al cuore, assolutamente nel tempo presente non vi è l’eguale. Quando dunque sua altezza reale elettrice benignamente assente al qui proposto partito, sarà bene, che il diploma per lo Scoti sia fatto sollecitamente, e sia addrizzato o al signor Ferrandini, o a me, giacché ella non sarà più in Venezia, e lo spedirglielo fin a Napoli è perder troppo tempo. Ciò importa non poco, perché quel religioso polacco che avevo alla mia scuola, è partito con intenzione di propor questa giovine al suo re di Polonia; ed ella sa, che anche il prencipe di Brunswich ha qualche mira su la medesima. La povera giovane tanto malignata, e invidiata nel pio luogo com’ella ha veduto con gli occhi suoi, altro non cerca che di uscirne fuori per non morir ivi di rabbia, o di qualche cosa di peggio; e però è certo che abbraccierà la prima occasione che le si presenta. È vero, verissimo, che tanto essa, quanto io siamo concordi nel sentimento di procurar piuttosto il serviggio di sua altezza reale elettrice con la metà di meno di assegnamento, che il serviggio di qualunque altra corte con la metà di più; ma dove si tratta di salvar la vita, si attacca (come dice il proverbio) anche ai spini. Le confesso per altro, che se la clemenza della nostra sovrana padrona assente al proposto partito, sicché questa mia discepola arrivi alla fortuna di esser ricevuta al di lei serviggio, questa è per me la massima consolazione della mia vecchiaia, sicuro che sua altezza reale elettrice si compiacerà di averla acquistata; e che la giovine in tutta Europa non poteva desiderarsi miglior fortuna di tal sovrana padrona. Iddio faccia per sua misericordia, che così succeda, e intanto pregandola di darmi qualche precisa notizia del giorno di sua partenza per Napoli acciò io le possa mandar in tempo quanto le ho promesso, e dandole mille cordialissimi abbraccj, mi rassegno sempre più [...]""";;;X;p. 286, 309, 310;EIT;;MGG;;GMO;;DIC;DUM;DEU;DBI;"DOUNIAS, 1935; CAPRI, 1945, p. 388; BERDES; LUISA DI MENNA, Maddalena Lombardini Sirmen. Musicista virtuosa e compositrice nell'Europa del Settecento, Livorno, Sillabe, 2021";;"6 Sonate da Madame Sirmen vl (2), b
6 Trio Sonates F, C, D, A, G, f für 2 V. und Vc.
6 Son. Es, D, B, E, A, C für 2 V. op.?4, Den Haag 1773; Nachdr. als 6 Duette o.Op., L. o.J; als op.?5, P. o.?J.; hrsg. von K.?Clarke/C.?Cooper, Bryn Mawr 1994";;"6 Violinkonz. B, E, A, C, B, C op.?2 und 3, Adm. 1772/73, Nachdr. der Nr.?1–3 P. o.?J., Nr.?1–6 als op.?3, L. 1772/73; bearb. für Cemb. von T.?Giordani, L. 1773; Nr.?1, 3, 5, hrsg. von J.?L.?Baldauf-Berdes, Madison 1991 (= RRMCE 38)
6 Qu. Es, B, g, B, F, E op.?3, P. 1769, Nachdr. L. 1775 (mit L.?Syrmen?)
Son. A-Dur für V. und B.c., Wien 1776 (L.?Syrmen zugeschr.)
 Composers, Music Through the Ages, Bd.?5, N.?Y. 1998, 405–424
6 Duets vl(2)";;RISM;MGG
Luisa [Louisa];1727-;"[Venice]; violinista nel coro della Pietà";;;;;;;;;;;;;;;;;;;GILLIO, 2000;;;;;;;
MANFREDI, Filippo;1730 (1738 Bonaventura) (1731 DBI)-1780 [1729-1777 Eitner];Lucca (Italy);"Livorno; Firenze; Genova; Lucca; Nizza; Parigi; Valencia, Madrid";1743;"Prese lezioni da Domenico Ferrari, da Frediano Matteo Lucchesi per la composizione e Giovanni Lorenzo Gregori per il violino; fu allievo di Nardini; viaggiò con Boccherini";;;;X;;EIT;;;;;;;DUM;;DBI;"DOUNIAS, 1935; CAPRI, 1945, p. 388; STOEVING, Von der Violine, p. 207; Giovanni MASUTTO, Della musica sacra in Italia; A. BONAVENTURA, p. 148; WASIELEWSKI, 1869";"""Filippo Manfredi [...] a Livorno conobbe ed avvicinò il celebre Tartini il quale gli valse assai per progredire splendidamente nella sua carriera musicale"", Masutto, p. 28.""Da smentire anche la credenza di una sua frequentazione con GT circolata in alcuni antichi repertori"" (Carlo Bellora, Filippo Manfredi, Varese, Zecchini, 2009)";;;"6 Son. für V. und Baß op.?1, P. 1769
12 Son. für V. und Baß (gen. ›Luccheser Sonaten‹), Mld. 1939
Duetto notturno B-Dur für 2 V., I-Gl, I-Mc, I-Pca (Boccherini zugeschr.)
Piccolo trio für V., Va. und Vc. B-Dur, I-Sac.
Sonata Es-Dur für V. und Baß, A-Wgm";;;MGG
MANINI, Antonio;;Italy;;;;;;;;;;;MGG;;;;;;;;MGG (vedi info nella biografia di Hellendaal);;;;6 Divertimenti for two violins;;RISM;
MARCELLO, Alessandro;1673 (1669 MGG)-1747;Venice (Italy);"Venezia; Roma";"1720-1722; 1727-1747";;;;;;;;;;;;;;;;;CAPRI, 1945, p. 41;;;;;;;
MARCELLO, Girolamo;;Venice (Italy);;"1720-1722; 1727-1742";;;;;;;;;;;;;;;;;F.CAFFI, Storia della musica sacra nella già Cappella Ducale di S.Marco in Venezia dal 1318 al 1797, 2 voll., Venezia 1854/1855,;;;;;;;
MARIOTTINI, Antonio;17xx-1803 (1801);Italy;Dresda;;;;;;;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 388; D-B, Ms. Mus. Theor, BI. 84, 108, 134
""Rudimenti di Contrapunto, Trattato di Contrapunto di G. Tartini e lntroduzzione al Sistema di Tartini"", Berlin, Preußischer Kulturbesitz, Musikabteilung, Ms. Mus. Theor, BI. 84, 108, 134 (mss belonged to Antonio Mariottini)";;;;;;;
MAZZORANA [MAZURRANA, MASSARANA], Valentino;;Italy;;"""uno degli ultimi allievi di Tartini"" Tamaro";;;;;;;;;;;;;;;;;"TAMARO-WIESELBERGER, 1896; DOUNIAS, 1935; CAPRI, 1945, p. 388; POLIN, Tartini dopo Tartini";Dottor Mazurrana, novantenne sul finire degli anni '10 dell'800;;;;;;
MENEGHINI, Giulio (Giulietto Tromba);1741-1824;Padova (Italy);Padova;anni della vecchiaia di Tartini (dal 1760);;;;Una testimonianza del 1807 attesta che egli possedeva «un celebre violino appartenente ad un tempo al Tartini, e da esso lui maneggiato, del pari che diverse autografe suonate, e la maschera pure originale del medesimo.» (Antonio Neumayr, Illustrazione del Prato della Valle ossia della piazza delle statue di Padova, Padova 1807);X;;EIT;;;;;;;DUM;;;"DOUNIAS, 1935; CAPRI, 1945, p. 388";;;;;;;
MOCENIGO;;[Venice] (Italy);;;;;;;;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 41, 388";;;;;;;
MORIGI, Angelo;1725 (1752-1788 Eitner)-1801 (1790 secondo Bertini);Rimini (Italy);"Londra; Mantova; Parma";pre 1753;"Studiò teoria con Vallotti; Maestro di Bonifacio Asioli e di Gaetano Mattioli; corrispose con padre Martini";;;;X;;EIT;;MGG;;GMO;;;DUM;DEU;DBI;"DOUNIAS, 1935; CAPRI, 1945, p. 388";Morigi nomina Tartini come suo insegnante sulla pagina del titolo delle sue sonate op. 2 (cfr. Eitner);6 Sonatas für 2 V. und Baß, L. [1751];;"[6] sonate für V. und Baß op.?2, L. [1753]
6 concerti für 4 und 5 Instr. op.?3, L. [1756], Adm. 2[1759]
6 sonate für V. und Baß op.?4, Parma 1759, 2.?Aufl. als op.?1, P. o.?J.";"Trattato di contrappunto fugato, hrsg. von B.?Asioli, Mld. [1815], 2.?Aufl. [1820], dt. Übs. von Chr. F.?Michaelis, Lpz. 1816
Elementi e regole di contrappunto, I-PAc";;MGG
MOSEL, Antonio (padre);;;;;;;;;;;;;;;GMO;;;;;;;;"Sonata Da Camera | Per Due Violini Obbligati e | Violoncello Obbligato |
 Del Sig; Antonio Mosell. | Miglior
6 Sonate à due violini | & violoncello Di | Antonio Mosell | 1749 | [music incipit]";;"No. 2. A.# | Violino Solo. | con | Basso | Del Sig|r|e Antonio Moselle. | [with pencil:] C 699 | 9603
No. 1. G.?. | Violino Solo | con Basso | Del Sig|r|e Antonio Moselle. | [with pencil:] C 698
Concerto | Con Violino Principale e | Corni da Caccia | e Violini Obbligati e Ripieni | Del Sig: Antonio Moselle. | Migliore.";;RISM;
MOSEL(L), Giovanni Felice;1754-1811;Florence (Italy);;;Studiò con Pietro Nardini.;;;;X;;EIT;;;;GMO;;;DUM;;;"DOUNIAS, 1935; [Thematic Catalog, Berkeley Music Library, 1963, p. 149]; Gervasoni; Van Boer";studiò il violino con il padre Antonio, che fu allievo di Tartini;;;Duetti, Quartetti, Simfonie;;RISM;
NAPPI, Carlo Ignazio;1723-1796;Ancona (Italy);;;;;;;;;;;;;;;;;;;tesi CANALE, p. 37: SALVARANI, Catalogo delle opere musicali, p. ;;;;;;;
